файл,статья,вердикт,что не так,подсказка (+),подсказка (-)
Demonic_Bondage.png,Кающаяся,bad,"голая коленопреклонённая женщина закована в металл с антеннами, плоская фиолетовая пустота заменена полом с лепестками","a naked woman kneeling in blood, bare pale skin, breasts and limbs unarmoured, a flat dark purple void behind her","metal plating over skin, antennae, cracked armour, rose petals, floor, teal misty background"
Demonic_Transformation.png,Урон в Сумраке,bad,"жёлтые светящиеся глаза и оскал пропали, голубые пряди исчезли, звёздное небо заменено каменными руинами с травой","a red demon with glowing yellow eyes, a wide bared-teeth snarl, dark hair streaked pale blue, a starry purple sky, an orange horizon","normal dark eyes, closed mouth, plain black hair, stone ruins, moss, green grass, tall boots"
Dragon_Galley.png,Контакты: Тайгер Транспорт,bad,"солнечный день стал чёрной грозой, бело-голубой дракон побурел, блондинка на палубе — черноволосым мужчиной с пистолетом","a bright sunlit pale blue sky with white clouds, a pale blue-white dragon, a small blonde gal in orange on the deck","night storm clouds, dark brown dragon, black-haired man, cape, flintlock pistol"
ExploringTunnels_FG_345.png,Туннели Убежища,bad,женщина в зелёной жиже стала мужчиной: белая повязка на груди и юбка заменены штанами на мужском торсе,"a woman seen from behind, wide hips, a white cloth wrap across her chest, a white ragged skirt, a pirate tricorn, green sludge","man, male torso, narrow hips, brown trousers, shirtless male back"
Fungus_Adaptation.png,Приспособиться к грибам,bad,"туманный бело-бирюзовый грибной лес стал насыщенно-фиолетовым с мхом под грозой, голая грязь заросла травой","misty pale grey-white and teal mushroom caps, hazy bright fog, bare dark mud and water, a craggy tan rock, a blonde figure","purple caps, green moss, grass, storm clouds, smooth cracked egg, vines"
Galactic_Society.png,Рубежники,bad,"оранжевый огненный гребень над забралом стал золотым шипом, пришельцы превратились в людей и робота","a glowing orange flame crest over the teal visor, a white alien with a forehead gem, a purple-blue plumed alien, a warm brown carved maze wall","plain gold spike, ordinary human faces, bald human man, silver robot head, grey stone"
Gauss_Basic_Ped.png,Гаусс-боеприпасы для начинающих,bad,"плоский зелёный чертёж-контур стал фотореалистичной пушкой, ствол в пузырях, боеприпас позеленел в медь","a flat green wireframe outline drawing of the gauss gun on dark purple, a separate cartridge floating above, no fill and no shading","solid photoreal render, bubble blisters, droplet bumps, copper ammo blocks"
GDX_Out.png,Осмотр: тело д-ра Икс,bad,"голое женское тело на плите стало одетым мужчиной в броне, фиолетовая пустота — промышленным залом с городом","a nude female corpse lying face down on a slab, a pale bare skin silhouette, a flat dark purple void, a grey-teal grid panel","man, clothes, leather straps, steel pauldron, boots, rope, cityscape, industrial hall"
Gnome_16B.png,VIP: Варгерл,bad,"лицо и торс в веснушках и волдырях, кулак уродливый, оскал стал спокойным ртом, на голую кожу надеты латы","a red-haired gal with smooth tanned bare skin, an angry bared-teeth snarl, a plain dark bikini top, bare shoulders and thighs, a blue cloudy sky","freckles, pores, blistered warty fist, calm closed mouth, added shoulder and leg armour, flame markings"
Gudrun_Explorations_5.png,Д-р Икс - исследователь,bad,"белая куртка с рукавами стала тёмной майкой с голыми плечами, мутные руины заросли мхом, добавлена кровь","a woman from behind in a bright white long-sleeved jacket, a murky near-monochrome flooded ruin, very dark teal tones","navy tank top, bare arms and shoulders, green moss, brighter sky, blood stains, pistol"
Gudrun_Veil1_CPAL.png,Ритуал Смерти Гудрун,bad,"длинная чёрная вуаль с головы исчезла, прозрачное платье стало чёрной майкой, плечи в веснушках","a pale gothic woman draped in a long black veil over her head, a sheer brown gown, a silver pendant, leaning on a moonlit balustrade","bare shoulders, black tank dress, uncovered hair, blunt fringe, freckles, moles"
H_006.png,Древняя запись 506A-22,bad,"разбитая линзовидная тарелка превратилась в кита с глазом и плавником, добавлен джип, электрические дуги пропали","a crashed smooth dark lens-shaped alien saucer half buried in red desert, crackling energy arcs, two helmeted soldiers behind a wooden crate, dead grey aliens","whale, eye, barnacles, flippers, tail fluke, jeep, truck"
HeavyDutyPed.png,Сверхпрочные конструкции,bad,"плоский зелёный трафарет механизмов стал цветным рендером с человеческим лицом и руками, вплавленными в трубы","a flat two-tone green silhouette of heavy plastasteel machinery, gears, cylinders and rods on dark purple, filling the frame","human face, arms, body, melted anatomy, letterbox border, colour splatter"
Hotkeys.png,Гор. клавиши,bad,"чёрный колючий хвост стал гладкими каштановыми волосами, кожаный лиф — коричневым жилетом, поющее лицо — тяжёлым взглядом","a singer with a black spiky ponytail, eyes closed, head tilted back, mouth open, a glossy black leather bra harness, a hoop earring, a storm sky","brown hair, tooled brown vest, chains, open eyes, closed mouth, older face"
Hoverbike.png,Ховербайк,minor,"композиция цела, но кожа в «чешуе», сине-фиолетовый байк заржавел, красно-бурая земля стала серым гравием","goggled girl lying on a blue-purple hoverbike, smooth clean skin, red-brown mossy ground","freckles, moles, spots, scales, scaly skin, rust, grey gravel"
Hovertanks_CPAL.png,*Кооперация Землян и Ретикулян*,bad,"в статье парящие танки — на картинке им пририсовали гусеницы и катки, свечение под днищем и синяя вспышка пропали","hovertanks floating above the grass on skirted trackless hulls with a dust glow beneath, a blue energy flash at the left, hull lettering","tracks, caterpillar treads, road wheels, sprockets, suspension, star emblem"
Humanist_Files.png,Взлом файлов Гуманистов,bad,"чёрный силуэт получил освещённое лицо, оранжевая линза камеры на груди погасла, кадр ужался до портрета с рамкой","a full-frame backlit silhouette of a man in a long coat and tie, the face entirely black, a chest camera with a glowing orange lens","visible face, studio backdrop, small centred portrait, image border, second camera"
Huntress.png,Дикарка,bad,"стройная голая дикарка стала бодибилдершей в спортивном лифе и шортах в студии, копьё в одной руке, дождь и боевая раскраска пропали","a slim young wild girl, nude, teal blue hair, mouth open yelling, both arms raised holding a spear overhead, gold armbands, white war stripes, rain","bodybuilder muscles, sports bra, shorts, studio curtain, black box, one-handed spear"
Hybrid_Agent_CPAL.png,Наследие людей-гибридов,bad,"гибрид с огромным черепом и бледными глазами стал обычным мужчиной средних лет, серый костюм позеленел","a bald hybrid with an oversized domed cranium, huge pale blue eyes, no eyebrows, a tiny mouth, a grey suit, a red tie, a pistol, a top-down crime scene","human face, eyebrows, wrinkles, stubble, normal head, olive suit"
Hybrid_Examination.png,Боец: Лупоглаз,bad,"добавлен второй такой же пришелец, бирюзовые надбровья и фиолетовые глаза стали серо-чёрными, фиолетовые метки у руки пропали","one lone grey bug-eye alien female, cyan turquoise ridges over the brow, violet eyes, purple marks by her hand, a dark purple background","second alien, twin, duplicate, black eyes, plain grey head, blue background"
Ice_Damsel.png,Ледяная Леди,bad,"высокая белая меховая шапка стала кожаной фуражкой, светлые локоны — рыжими, ледяной белый фон потемнел, кожа в веснушках","a tall fluffy white fur hat with a blue star, pale blonde curls, blue eye makeup, white lingerie, a scoped rifle, a bright icy white background","peaked leather cap, dark background, ginger hair, freckles, moles, blemished skin"
Industrial_CPAL.png,Промышленные инструменты,bad,"в пустой литейный цех добавлена женщина в броне, сплошное свечение печи распалось на отдельные языки огня","an empty foundry hall with no people, a glowing molten orange furnace wall, a hanging machine head, robot arms, sparks, barrels","person, woman, armoured figure, standing character, face"
Labirynthus_Noctis.png,!Лабиринт Ночи!,bad,"на пустую марсианскую поверхность добавлены освещённый комплекс, спутник и модули","an empty mars orbital vista, the valles marineris canyons, a small sun low on the hazy limb, untouched red desert","buildings, space station, satellite, antennas, vehicles, surface lights"
Laser_Nuclear_Ped.png,Хеллериевые лазерные батареи,bad,"вместо абстрактного светящегося шара с лучами нарисована женщина в броне, летящая сквозь луч","an abstract white-hot orb on a dark purple void, pale pink light rays streaming to the left, nothing else","people, woman, warrior, armour, limbs, face, creature, stars"
MBT.png,БОЕВОЙ ТАНК,bad,"в статье «ховертанк», на картинке гусеницы и катки; свечение под днищем пропало","a hovering tank floating above the sand, no wheels and no tracks, a blue glow under the skirted hull","tracks, caterpillar treads, road wheels, sprockets, suspension"
MedExam_CPAL.png,Медицинский осмотр,bad,"кожа в тёмной крапине, зелёная световая панель заменена синей машинерией, тёплый зелёный свет стал холодным, у стойки лишняя рука","a nude woman with a hand to her head, smooth clean skin, a large glowing green-white light panel behind her, warm green lighting, a dark console screen","freckles, moles, speckled skin, blue lighting, extra hand, cluttered wall, bright green radar screen"
MirrorMirror_CPAL.png,Безупречная Кэп,bad,"голая фигура одета в зелёное платье, у отражения пропали корона, головной убор и золотое платье королевы","a nude dark-haired woman seen from behind before a gold mirror, the reflection a crowned queen in a green and gold gown","clothed standing figure, green dress, missing crown, missing headdress, plain grey mirror background"
Monolit.png,Жидкие металлы,bad,тело из жидкого металла с хромовой маской заменено обычной женщиной в кожаной броне в поле,"a naked body of black liquid metal, a chrome mirror mask floating above it, dark smoky void","clothes, leather armour, dress, ordinary woman, field, sky, landscape"
Nationalization.png,Троллетариат,bad,"женщина-киборг стала мужчиной, золотые серп и молот на груди исчезли, фон заменён синим цехом","a female cyborg trooper, pale lips under a visored steel helmet, a gold hammer and sickle emblem on the chest, a flat orange and purple background","male face, stubble, masculine jaw, blank chest disc, missing hammer and sickle, industrial hall"
Nekomimi_Warlord.png,ВРБ: Кошковоительница,bad,"белошёрстный кот-военачальник стал клыкастым чешуйчатым демоном, всё заросло плющом","a white-furred catman warlord, a feline face with whiskers and pointed ears, red studded armour, a japanese wooden veranda behind","ivy, leaves, vines, plants, tusks, snout, scaly wrinkled hide, demon face"
Ogress_Defeated.png,Огресса побеждена,bad,"рыжая огрица стала мужчиной, кожа в сетке трещин, яркий солнечный фон — серой каменной аркой","a huge muscular red-haired woman kneeling, her face hidden behind her hair, silver wrist cuffs, a bright pale sunburst background","male face, masculine jaw, cracked skin, stone arch, rubble, grey walls"
Orbit.png,Спутниковая сеть Земли,bad,"маленькая ракета у правого края заменена гигантским человеком, стоящим на облаках","seen from orbit above the purple cloud deck, a small white rocket at the right edge, no people at all","person, man, figure, astronaut, giant, standing on the clouds"
Pharmacology_CPAL.png,Фармакология,bad,"белая юбка с золотом стала серебряными шортами, смущённое лицо — нейтральным и в веснушках, белое поле таблеток потемнело","a black-haired girl in long blue gloves, a blushing open mouth, a white gold-trimmed skirt, a bright white field of pills, a green spill","silver shorts, freckles, moles, neutral face, dark grey background, dark water"
Powergal.png,ВАТАГА,minor,"в бледный туманный город добавлены столбы чёрного дыма и пожары, растрёпанные волосы стали аккуратным хвостом","a red-haired woman with loose messy hair, a spear on her back and a rifle, a pale hazy grey-blue ruined city, only faint embers","smoke plumes, large fires, ponytail, dark dramatic sky"
Pumas.png,VIP: Сестры Пумы,bad,"две сестры-кошкодевочки стали львами-самцами с гривами, добавлен разрушенный город позади","two catgirl sisters on white hoverbikes, female faces with cat ears and wild orange manes, a flat tan background","male lion heads, lion manes, ruined town, buildings, street, dust"
Quarantine.png,БОЕВОЕ ТАКСИ,bad,"раскалённый огонь на капоте такси стал обычной ржавчиной, шипы с бампера пропали, пулемёт раздвоился","the taxi is burning: glowing orange-red molten fire over the bonnet and front wing, spiked ram bar on the bumper, one minigun on the roof, purple night street","rust, plain weathered paint, no fire, clean car, wet mirror-like road, two guns"
Ressurect.png,Шивалингам в награду,bad,"светящееся ангельское видение стало плотной женщиной в кожаном лифе, крылья посинели, тёплый свет свечей стал серым","a glowing ethereal winged angel of white light on the temple steps, warm orange candlelight, a body lit orange on the altar","leather bra, leather skirt, solid opaque woman, cyan blue wings, grey cold lighting"
Sadako.png,Материализация Духа,bad,бледная девушка-призрак с чёрными волосами на лице стала серебристым мужчиной-бодибилдером,"a pale slender young woman, white skin, long black hair hanging over her face, female body, black void","man, male, bodybuilder, muscular man, male face, silver skin"
Shield_Ped.png,Силовые поля,bad,"две крошечные фигурки на дальнем причале раздуты в героев на переднем плане, красно-ржавый коралл стал зелёными кустами","a wide empty night bay, an alien saucer over the water, a dark ruined city at the right, a tiny distant pair on the jetty, a red-rust coral bank at the left","large foreground figures, close-up characters, green foliage, heroes seen from behind"
Space_City.png,Лапута,bad,в пустое ущелье башен добавлена женщина в середине кадра,"an empty canyon of city towers, a small spaceship flying toward the bright planet, nobody anywhere","person, woman, man, figure, character, astronaut, standing in the middle"
The_Pit.png,Хеллериевая экономика,bad,"бледные призрачные фигуры на краю кратера заменены крупным сидящим мужчиной, серый камень зарос мхом","a huge concrete crater in a grey city, a red-orange glow deep at the bottom, pale ghost-white shapes on the right rim, a tiny distant walker","seated man in the foreground, close-up character, green moss, grass, vegetation"
VIP_3.png,Клиент: Альянс Мутантов,bad,"Сая сменила пол: бледная девушка с тёмным каре стала юношей с голым торсом, кожа в веснушках и порах","saya, a pale grey-green skinned young woman, a dark bob with side strands, orange lips, bare shoulders, a dark violet background","male body, man, muscular chest, freckles, pores, spiky hair"
VIP_14.png,Рейдерский Субподряд,bad,"светящиеся оранжевые окуляры и противогаз пропали, рейдер стал безликим рыцарем в полированных латах, город — пустым небом","a raider with glowing orange goggle eyes, a gas mask, a ragged long cape with orange rim light, a ruined purple city, overhead cables","bare face, plate armour knight, clean shaven man, empty cloudy sky, smooth cloak"
Wizard1.png,Белый Отец,bad,"статья «The White Father», а бело-русые волосы стали чёрными","white-blond long hair, pale cream robe, staff, green domed city behind the arch","black hair, dark hair, brunette"
Wojakbrain.png,Пузырники,bad,"гигантский мозг, внутри которого сидит фигура, стал каменным троном; рисунок-каракуля стал фотографией одетого мужчины с сигаретой","a line-art doodle, a nude man with glasses seated inside a giant wrinkled brain, holding a tiny cocktail, cream paper","stone throne, moss, loincloth, clothing, cigarette, photo realism, curly hair"
